Latitude	Longitude	Year	Month	Time	GS	Customers	Country
51.159649	7.481051	2022	9	2022-09-01	490.1511	2	All
60.383299	5.4667	2022	6	2022-06-01	671.5632	2	NO
47.421364	7.499484	2022	9	2022-09-01	4113.41	9	All
47.050388	7.29787	2023	1	2023-01-01	1678.81	5	CH
51.731957	5.361577	2022	3	2022-03-01	1384.8963	1	All
52.851311	5.028311	2022	12	2022-12-01	260.1332	1	All
52.484482	6.127319	2022	3	2022-03-01	596.8598	1	All
52.477122	6.053763	2022	5	2022-05-01	172.3349	1	All
50.988961	5.846046	2022	11	2022-11-01	212.3556	1	NL
52.009494	10.133252	2022	7	2022-07-01	1701.729	6	All
48.626387	9.238905	2022	4	2022-04-01	8049.1834	9	All
47.159241	6.990518	2022	2	2022-02-01	2586.08	10	CH
60.483426	22.198902	2022	5	2022-05-01	3541.5897	4	All
40.759992	14.540184	2022	3	2022-03-01	122.1055	1	IT
47.02669	8.522397	2022	4	2022-04-01	1114.61	5	All
52.099236	11.598058	2022	5	2022-05-01	813.1675	3	DE
39.665796	16.449704	2022	6	2022-06-01	524.927	3	IT
48.904269	9.138637	2023	1	2023-01-01	751.109	1	DE
52.401766	5.331713	2022	10	2022-10-01	664.835	1	NL
48.297405	11.70575	2022	4	2022-04-01	822.4055	4	All
52.112773	5.096968	2022	4	2022-04-01	307.7893	1	NL
62.45	6.2	2023	1	2023-01-01	6019.552	12	NO
48.064213	7.84919	2023	1	2023-01-01	303.5711	1	All
52.076495	4.270504	2022	6	2022-06-01	123.074	1	All
51.989927	5.094316	2022	11	2022-11-01	288.6406	1	NL
51.774495	5.940595	2023	1	2023-01-01	1385.3262	1	All
51.060852	13.840367	2023	1	2023-01-01	732.2978	3	DE
48.235556	7.717177	2022	2	2022-02-01	1998.5994	1	DE
49.068943	9.291456	2023	1	2023-01-01	250.0965	1	All
52.489437	4.944975	2022	8	2022-08-01	104.3745	1	NL
52.49752	4.969587	2022	10	2022-10-01	430.908	1	NL
56.06606	12.28063	2022	11	2022-11-01	39880.71	65	All
46.831727	6.659762	2022	9	2022-09-01	744.87	2	CH
